model,category,AURN,CNEMC,CPCB,EEA_DE,EEA_FR,EPA,SINAICA
Seasonal Naive,Statistical Baseline,1.000,1.000,1.000,1.000,1.000,1.000,1.000
PatchTST,ML Baseline,.760,.777,.878,.820,.779,.798,.825
DLinear,ML Baseline,.786,.804,.922,.885,.793,.827,.854
DeepAR,ML Baseline,.786,.820,.963,.855,.838,.842,.874
LightGBM,ML Baseline,.827,.835,.888,.984,.843,.837,.862
Auto-ETS,Statistical Baseline,.868,.885,.899,.878,.877,.902,.925
VisionTS++,TSFM Zero-Shot,.755,.768,.793,.769,.759,.795,.801
TiRex,TSFM Zero-Shot,.757,.774,.796,.772,.763,.778,.813
TimesFM-2.5,TSFM Zero-Shot,.760,.775,.800,.775,.767,.782,.816
Chronos-2,TSFM Zero-Shot,.776,.784,.804,.782,.775,.788,.814
Moirai-2,TSFM Zero-Shot,.768,.779,.804,.784,.775,.806,.816
Chronos-Bolt,TSFM Zero-Shot,.779,.790,.817,.785,.776,.790,.819
Sundial,TSFM Zero-Shot,.768,.790,.813,.786,.778,.807,.826
TimesFM-2.0,TSFM Zero-Shot,.770,.789,.821,.790,.775,.837,.825
Moirai,TSFM Zero-Shot,.785,.794,.835,.797,.791,.817,.837
TTM-r3,TSFM Zero-Shot,.786,.803,.833,.798,.791,.835,.836
TimesFM-1.0,TSFM Zero-Shot,.790,.814,.849,.822,.794,.864,.844
Kairos,TSFM Zero-Shot,.872,.993,1.109,.942,.944,.988,1.102
Chronos-2 (Global),TSFM FT (Global),.739,.750,.776,.749,.742,.756,.788
Moirai-2 (Global),TSFM FT (Global),.736,.749,.782,.749,.740,.774,.790
TTM-r3 (Global),TSFM FT (Global),.743,.759,.802,.758,.750,.796,.803
TimesFM-2.5 (Global),TSFM FT (Global),.756,.770,.806,.769,.762,.788,.816
Chronos-2 (Pollutant),TSFM FT (Pollutant),.734,.746,.775,.744,.737,.752,.787
Moirai-2 (Pollutant),TSFM FT (Pollutant),.732,.745,.778,.743,.735,.770,.787
TTM-r3 (Pollutant),TSFM FT (Pollutant),.738,.754,.799,.750,.743,.788,.798
TimesFM-2.5 (Pollutant),TSFM FT (Pollutant),.757,.767,.800,.765,.760,.782,.811
