model,category,PM2_5,PM10,NO2,CO,SO2,Ozone
Seasonal Naive,Statistical Baseline,1.00,1.00,1.00,1.00,1.00,1.00
PatchTST,ML Baseline,.773,.771,.809,.807,.854,.814
DLinear,ML Baseline,.780,.785,.826,.841,.968,.837
DeepAR,ML Baseline,.796,.801,.855,.877,.901,.890
LightGBM,ML Baseline,.841,.829,.843,.882,.935,.872
Auto-ETS,Statistical Baseline,.856,.868,.892,.895,.926,.907
VisionTS++,TSFM Zero-Shot,.753,.760,.770,.776,.810,.793
TiRex,TSFM Zero-Shot,.759,.769,.785,.779,.795,.787
TimesFM-2.5,TSFM Zero-Shot,.760,.769,.783,.783,.801,.797
Chronos-2,TSFM Zero-Shot,.770,.776,.786,.792,.808,.801
Moirai-2,TSFM Zero-Shot,.764,.773,.785,.790,.815,.815
Chronos-Bolt,TSFM Zero-Shot,.780,.784,.782,.798,.813,.803
Sundial,TSFM Zero-Shot,.777,.782,.795,.792,.821,.805
TimesFM-2.0,TSFM Zero-Shot,.772,.781,.789,.807,.847,.811
Moirai,TSFM Zero-Shot,.778,.787,.802,.817,.828,.836
TTM-r3,TSFM Zero-Shot,.781,.788,.802,.810,.844,.846
TimesFM-1.0,TSFM Zero-Shot,.793,.795,.806,.827,.871,.861
Kairos,TSFM Zero-Shot,.903,.900,1.035,.985,.882,1.28
Chronos-2 (Global),TSFM FT (Global),.739,.747,.757,.757,.785,.757
Moirai-2 (Global),TSFM FT (Global),.738,.747,.754,.762,.801,.758
TTM-r3 (Global),TSFM FT (Global),.746,.753,.767,.777,.819,.777
TimesFM-2.5 (Global),TSFM FT (Global),.755,.766,.780,.783,.834,.769
Chronos-2 (Pollutant),TSFM FT (Pollutant),.739,.745,.751,.753,.780,.752
Moirai-2 (Pollutant),TSFM FT (Pollutant),.736,.746,.749,.758,.792,.752
TTM-r3 (Pollutant),TSFM FT (Pollutant),.744,.752,.760,.772,.808,.765
TimesFM-2.5 (Pollutant),TSFM FT (Pollutant),.751,.764,.770,.772,.845,.762
